an.onset	onset detector for arrays / детектор атаки для массивов
array.sample->phase	convert the sample index to the phase range [0..1] / преобразование индекса семпла в фазовый диапазон [0..1]
conv.amp2dbfs	convert from the amplitude to a decibel full scale / преобразование из амплитуды в децибелы полной шкалы
ceammc/amp->dbfs	convert from the amplitude to a decibel full scale / преобразование из амплитуды в децибелы полной шкалы
amp->dbfs	convert from the amplitude to a decibel full scale / преобразование из амплитуды в децибелы полной шкалы
conv.amp2dbfs~	convert from the amplitude to a decibel full scale / преобразование из амплитуды в децибелы полной шкалы
ceammc/amp->dbfs~	convert from the amplitude to a decibel full scale / преобразование из амплитуды в децибелы полной шкалы
amp->dbfs~	convert from the amplitude to a decibel full scale / преобразование из амплитуды в децибелы полной шкалы
conv.bar2ms	calculates bar and beat duration / вычисляет продолжительность такта и ударной доли
ceammc/bar->ms	calculates bar and beat duration / вычисляет продолжительность такта и ударной доли
bar->ms	calculates bar and beat duration / вычисляет продолжительность такта и ударной доли
conv.bits2bang	convert list of bits to bang events / конвертирует список битов в пустые события
ceammc/bits->bang	convert list of bits to bang events / конвертирует список битов в пустые события
bits->bang	convert list of bits to bang events / конвертирует список битов в пустые события
conv.bits2int	convert list of bits to integer / преобразовать список битов в целое число
ceammc/bits->int	convert list of bits to integer / преобразовать список битов в целое число
bits->int	convert list of bits to integer / преобразовать список битов в целое число
conv.bits2note	convert list of bits into note, velocity pairs / конвертирует список битов в пары: номер ноты, сила нажатия
ceammc/bits->note	convert list of bits into note, velocity pairs / конвертирует список битов в пары: номер ноты, сила нажатия
bits->note	convert list of bits into note, velocity pairs / конвертирует список битов в пары: номер ноты, сила нажатия
conv.bits2pos	converts the list of bits into the list of checked bit position / преобразует список битов в список позиций установленных битов
ceammc/bits->pos	converts the list of bits into the list of checked bit position / преобразует список битов в список позиций установленных битов
bits->pos	converts the list of bits into the list of checked bit position / преобразует список битов в список позиций установленных битов
conv.bpm2hz	converts BPM tempo into a frequency in hertz / преобразует темп BPM в частоту в герцах
ceammc/bpm->hz	converts BPM tempo into a frequency in hertz / преобразует темп BPM в частоту в герцах
bpm->hz	converts BPM tempo into a frequency in hertz / преобразует темп BPM в частоту в герцах
conv.bpm2ms	converts the BPM tempo into a beat period in milliseconds / преобразует темп BPM в период между ударными долями в миллисекундах
ceammc/bpm->ms	converts the BPM tempo into a beat period in milliseconds / преобразует темп BPM в период между ударными долями в миллисекундах
bpm->ms	converts the BPM tempo into a beat period in milliseconds / преобразует темп BPM в период между ударными долями в миллисекундах
conv.bpm2sec	converts the BPM tempo into a period in seconds / преобразует темп BPM в период между ударными долями в секундах
ceammc/bpm->sec	converts the BPM tempo into a period in seconds / преобразует темп BPM в период между ударными долями в секундах
bpm->sec	converts the BPM tempo into a period in seconds / преобразует темп BPM в период между ударными долями в секундах
conv.car2pol	converts cartesian coords to polar / преобразует картезианские координаты в полярные
ceammc/car->pol	converts cartesian coords to polar / преобразует картезианские координаты в полярные
car->pol	converts cartesian coords to polar / преобразует картезианские координаты в полярные
conv.cc2amp	converts from MIDI Control Change range / конвертирует из диапазона MIDI Control Change
ceammc/cc->amp	converts from MIDI Control Change range / конвертирует из диапазона MIDI Control Change
cc->amp	converts from MIDI Control Change range / конвертирует из диапазона MIDI Control Change
conv.char2morse	converts the single character into the Morse code / преобразует единичный символ в код Морзе
ceammc/char->morse	converts the single character into the Morse code / преобразует единичный символ в код Морзе
char->morse	converts the single character into the Morse code / преобразует единичный символ в код Морзе
conv.color2rgba	converts the named or hex color into separate RGBA values / преобразует именованный или шестнадцатеричный цвет в отдельные значения RGBA
ceammc/color->rgba	converts the named or hex color into separate RGBA values / преобразует именованный или шестнадцатеричный цвет в отдельные значения RGBA
color->rgba	converts the named or hex color into separate RGBA values / преобразует именованный или шестнадцатеричный цвет в отдельные значения RGBA
conv.dbfs2amp	convert decibel full scale to amplitude / преобразование децибел полной шкалы в амплитуду
ceammc/dbfs->amp	convert decibel full scale to amplitude / преобразование децибел полной шкалы в амплитуду
dbfs->amp	convert decibel full scale to amplitude / преобразование децибел полной шкалы в амплитуду
conv.dbfs2amp~	convert decibel full scale to amplitude / преобразование децибел полной шкалы в амплитуду
ceammc/dbfs->amp~	convert decibel full scale to amplitude / преобразование децибел полной шкалы в амплитуду
dbfs->amp~	convert decibel full scale to amplitude / преобразование децибел полной шкалы в амплитуду
conv.degree2key	converts the scale degree into a key number / преобразует номер ступени лада в номер клавиши
ceammc/degree->key	converts the scale degree into a key number / преобразует номер ступени лада в номер клавиши
degree->key	converts the scale degree into a key number / преобразует номер ступени лада в номер клавиши
conv.edge2bang	edge detector for numeric stream / детектор перехода для численного потока
ceammc/edge->bang	edge detector for numeric stream / детектор перехода для численного потока
edge->bang	edge detector for numeric stream / детектор перехода для численного потока
conv.guido2note	convert the Guido notation into a MIDI pitch and duration / конвертер из Guido-нотации в MIDI ноту и длительность
ceammc/guido->note	convert the Guido notation into a MIDI pitch and duration / конвертер из Guido-нотации в MIDI ноту и длительность
guido->note	convert the Guido notation into a MIDI pitch and duration / конвертер из Guido-нотации в MIDI ноту и длительность
conv.hex2int	converts hex symbol into an integer value / конвертирует шестнадцатеричный символ в целочисленное значение
ceammc/hex->int	converts hex symbol into an integer value / конвертирует шестнадцатеричный символ в целочисленное значение
hex->int	converts hex symbol into an integer value / конвертирует шестнадцатеричный символ в целочисленное значение
conv.hsl2rgb	convert HSL color values to RGB / преобразование цветовых значений из HSL в RGB
ceammc/hsl->rgb	convert HSL color values to RGB / преобразование цветовых значений из HSL в RGB
hsl->rgb	convert HSL color values to RGB / преобразование цветовых значений из HSL в RGB
conv.int2bits	convert integer to list of bits / конвертировать целое число в список битов
ceammc/int->bits	convert integer to list of bits / конвертировать целое число в список битов
int->bits	convert integer to list of bits / конвертировать целое число в список битов
conv.lab2rgb	convert LAB color values to RGB / преобразование цветовых значений из LAB в RGB
ceammc/lab->rgb	convert LAB color values to RGB / преобразование цветовых значений из LAB в RGB
lab->rgb	convert LAB color values to RGB / преобразование цветовых значений из LAB в RGB
conv.lin2curve	map linear to exponential range with 0 allowed / отображает линейный диапазон в экспоненциальный с разрешенным 0
ceammc/lin->curve	map linear to exponential range with 0 allowed / отображает линейный диапазон в экспоненциальный с разрешенным 0
lin->curve	map linear to exponential range with 0 allowed / отображает линейный диапазон в экспоненциальный с разрешенным 0
conv.lin2exp	maps linear range to exponential range / отображает линейный диапазон в экспоненциальный
ceammc/lin->exp	maps linear range to exponential range / отображает линейный диапазон в экспоненциальный
lin->exp	maps linear range to exponential range / отображает линейный диапазон в экспоненциальный
conv.lin2lin	converts from the one linear range into another / отображает один линейный диапазон в другой
ceammc/lin->lin	converts from the one linear range into another / отображает один линейный диапазон в другой
lin->lin	converts from the one linear range into another / отображает один линейный диапазон в другой
ceammc/l->l	converts from the one linear range into another / отображает один линейный диапазон в другой
l->l	converts from the one linear range into another / отображает один линейный диапазон в другой
conv.lin2lin~	converts from the one linear range to another for signals / отображает один линейный диапазон в другой для сигналов
ceammc/lin->lin~	converts from the one linear range to another for signals / отображает один линейный диапазон в другой для сигналов
lin->lin~	converts from the one linear range to another for signals / отображает один линейный диапазон в другой для сигналов
ceammc/l->l~	converts from the one linear range to another for signals / отображает один линейный диапазон в другой для сигналов
l->l~	converts from the one linear range to another for signals / отображает один линейный диапазон в другой для сигналов
conv.list2props	converts list to series of property messages / преобразует список в серию свойств-сообщений
ceammc/list->props	converts list to series of property messages / преобразует список в серию свойств-сообщений
list->props	converts list to series of property messages / преобразует список в серию свойств-сообщений
ceammc/any->props	converts list to series of property messages / преобразует список в серию свойств-сообщений
any->props	converts list to series of property messages / преобразует список в серию свойств-сообщений
conv.midi2freq	advanced MIDI pitch conversion to a frequency / продвинутое преобразование MIDI нот в частоту в Гц
ceammc/midi->freq	advanced MIDI pitch conversion to a frequency / продвинутое преобразование MIDI нот в частоту в Гц
midi->freq	advanced MIDI pitch conversion to a frequency / продвинутое преобразование MIDI нот в частоту в Гц
ceammc/m->f	advanced MIDI pitch conversion to a frequency / продвинутое преобразование MIDI нот в частоту в Гц
m->f	advanced MIDI pitch conversion to a frequency / продвинутое преобразование MIDI нот в частоту в Гц
conv.ms2bpm	converts period in milliseconds to BPM tempo / преобразование периода в миллисекундах в темп BPM
ceammc/ms->bpm	converts period in milliseconds to BPM tempo / преобразование периода в миллисекундах в темп BPM
ms->bpm	converts period in milliseconds to BPM tempo / преобразование периода в миллисекундах в темп BPM
conv.ms2samp	convert time in milliseconds to number of samples according to current sample rate / преобразовать время в миллисекундах в количество семплов в соответствии с текущей скоростью семплирования
ceammc/ms->samp	convert time in milliseconds to number of samples according to current sample rate / преобразовать время в миллисекундах в количество семплов в соответствии с текущей скоростью семплирования
ms->samp	convert time in milliseconds to number of samples according to current sample rate / преобразовать время в миллисекундах в количество семплов в соответствии с текущей скоростью семплирования
conv.ms2samp~	convert time in milliseconds to number of samples according to current sample rate / преобразовать время в миллисекундах в количество семплов в соответствии с текущей скоростью семплирования
ceammc/ms->samp~	convert time in milliseconds to number of samples according to current sample rate / преобразовать время в миллисекундах в количество семплов в соответствии с текущей скоростью семплирования
ms->samp~	convert time in milliseconds to number of samples according to current sample rate / преобразовать время в миллисекундах в количество семплов в соответствии с текущей скоростью семплирования
conv.ms2str	formats time in milliseconds to symbol or string / форматирует время в миллисекундах в символ или строку
ceammc/ms->str	formats time in milliseconds to symbol or string / форматирует время в миллисекундах в символ или строку
ms->str	formats time in milliseconds to symbol or string / форматирует время в миллисекундах в символ или строку
conv.note2guido	converts MIDI note number to Guido notation / преобразует MIDI ноту в Guido-нотацию
ceammc/note->guido	converts MIDI note number to Guido notation / преобразует MIDI ноту в Guido-нотацию
note->guido	converts MIDI note number to Guido notation / преобразует MIDI ноту в Guido-нотацию
conv.phase2rad	converts phase value [0-1] to radians [0-2π] / преобразует значение фазы [0-1] в радианы [0-2π]
ceammc/phase->rad	converts phase value [0-1] to radians [0-2π] / преобразует значение фазы [0-1] в радианы [0-2π]
phase->rad	converts phase value [0-1] to radians [0-2π] / преобразует значение фазы [0-1] в радианы [0-2π]
conv.phase2rad~	convert phase value [0-1] to radians [0-2π] / преобразует значение фазы [0-1] в радианы [0-2π]
ceammc/phase->rad~	convert phase value [0-1] to radians [0-2π] / преобразует значение фазы [0-1] в радианы [0-2π]
phase->rad~	convert phase value [0-1] to radians [0-2π] / преобразует значение фазы [0-1] в радианы [0-2π]
conv.pitch2midi	converts SPN pitch to MIDI note number / преобразует ноту в формате SPN в номер ноты MIDI
ceammc/pitch->midi	converts SPN pitch to MIDI note number / преобразует ноту в формате SPN в номер ноты MIDI
pitch->midi	converts SPN pitch to MIDI note number / преобразует ноту в формате SPN в номер ноты MIDI
conv.pol2car	convert from polar coordinates to cartesian / преобразование из полярных координат в картезианские
ceammc/pol->car	convert from polar coordinates to cartesian / преобразование из полярных координат в картезианские
pol->car	convert from polar coordinates to cartesian / преобразование из полярных координат в картезианские
conv.rad2phase	convert radians value to phase [0-1) / преобразование радианов в фазу [0-1)
ceammc/rad->phase	convert radians value to phase [0-1) / преобразование радианов в фазу [0-1)
rad->phase	convert radians value to phase [0-1) / преобразование радианов в фазу [0-1)
conv.rad2phase~	convert radians value to phase [0-1) / преобразование значения радианов в фазу [0-1)
ceammc/rad->phase~	convert radians value to phase [0-1) / преобразование значения радианов в фазу [0-1)
rad->phase~	convert radians value to phase [0-1) / преобразование значения радианов в фазу [0-1)
conv.rgb2hex	convert separate RGB values to hex color / преобразование отдельных значений RGB в шестнадцатеричный цвет
ceammc/rgb->hex	convert separate RGB values to hex color / преобразование отдельных значений RGB в шестнадцатеричный цвет
rgb->hex	convert separate RGB values to hex color / преобразование отдельных значений RGB в шестнадцатеричный цвет
conv.samp2ms	converts samples to millisecond according sample rate / преобразовывает семплы в миллисекунды в соответствии со скоростью семплирования
ceammc/samp->ms	converts samples to millisecond according sample rate / преобразовывает семплы в миллисекунды в соответствии со скоростью семплирования
samp->ms	converts samples to millisecond according sample rate / преобразовывает семплы в миллисекунды в соответствии со скоростью семплирования
conv.samp2ms~	converts samples to milliseconds according to sample rate / преобразовывает семплы в миллисекунды в соответствии со скоростью семплирования
ceammc/samp->ms~	converts samples to milliseconds according to sample rate / преобразовывает семплы в миллисекунды в соответствии со скоростью семплирования
samp->ms~	converts samples to milliseconds according to sample rate / преобразовывает семплы в миллисекунды в соответствии со скоростью семплирования
conv.samp2sec	convert samples to seconds according to sample rate / преобразовывает семплы в секунды в соответствии со скоростью семплирования
ceammc/samp->sec	convert samples to seconds according to sample rate / преобразовывает семплы в секунды в соответствии со скоростью семплирования
samp->sec	convert samples to seconds according to sample rate / преобразовывает семплы в секунды в соответствии со скоростью семплирования
conv.sec2bpm	converts period in seconds to frequency in BPM / преобразует период в секундах в темп BPM
ceammc/sec->bpm	converts period in seconds to frequency in BPM / преобразует период в секундах в темп BPM
sec->bpm	converts period in seconds to frequency in BPM / преобразует период в секундах в темп BPM
conv.sec2samp	converts time in seconds to number of samples according to current sample rate / преобразует секунды в количество семплов согласно текущей скорости семплирования
ceammc/sec->samp	converts time in seconds to number of samples according to current sample rate / преобразует секунды в количество семплов согласно текущей скорости семплирования
sec->samp	converts time in seconds to number of samples according to current sample rate / преобразует секунды в количество семплов согласно текущей скорости семплирования
conv.sec2str	formats time in seconds to symbol or string / форматирует время в секундах в символ или строку
ceammc/sec->str	formats time in seconds to symbol or string / форматирует время в секундах в символ или строку
sec->str	formats time in seconds to symbol or string / форматирует время в секундах в символ или строку
conv.semi2ratio	converts interval in semitones to frequency ratio in 12-ET / преобразует интервал в полутонах в частотное отношение в 12-ET
ceammc/semi->ratio	converts interval in semitones to frequency ratio in 12-ET / преобразует интервал в полутонах в частотное отношение в 12-ET
semi->ratio	converts interval in semitones to frequency ratio in 12-ET / преобразует интервал в полутонах в частотное отношение в 12-ET
conv.sig2float~	converts audio signal to control numeric stream / преобразует аудиосигнал в управляющий числовой поток
ceammc/sig->float~	converts audio signal to control numeric stream / преобразует аудиосигнал в управляющий числовой поток
sig->float~	converts audio signal to control numeric stream / преобразует аудиосигнал в управляющий числовой поток
ceammc/s->f~	converts audio signal to control numeric stream / преобразует аудиосигнал в управляющий числовой поток
s->f~	converts audio signal to control numeric stream / преобразует аудиосигнал в управляющий числовой поток
conv.str2sec	converts the formatted time to a float value in seconds / преобразует отформатированное время в числовое значение в секундах
ceammc/str->sec	converts the formatted time to a float value in seconds / преобразует отформатированное время в числовое значение в секундах
str->sec	converts the formatted time to a float value in seconds / преобразует отформатированное время в числовое значение в секундах
music.dur2time	transforms the list of musical durations into a list of time periods / преобразование списка музыкальных длительностей в список временных периодов
music.d->t	transforms the list of musical durations into a list of time periods / преобразование списка музыкальных длительностей в список временных периодов
music.voice2midi	convert single voice music to list of MIDI pitches / конвертирует одноголосную музыкальную нотацию в список нот MIDI
music.v->m	convert single voice music to list of MIDI pitches / конвертирует одноголосную музыкальную нотацию в список нот MIDI
color.mix	color mixer / смешивание цветов
color.scale	creation of the color scale / создание цветовой шкалы
data.bimap	bidirectional map container / двунаправленное отображение
ceammc/bimap	bidirectional map container / двунаправленное отображение
bimap	bidirectional map container / двунаправленное отображение
data.color	color data type / цветовой тип данных
color	color data type / цветовой тип данных
ceammc/color	color data type / цветовой тип данных
data.copy	makes a copy for any data type: MList, Set etc... / делает копии любых типов данных: MList, Set и т.д.
data.dict	the dictionary container: stores key-values pairs / контейнер словаря: хранит пары ключ-значение
ceammc/dict	the dictionary container: stores key-values pairs / контейнер словаря: хранит пары ключ-значение
dict	the dictionary container: stores key-values pairs / контейнер словаря: хранит пары ключ-значение
